var1,var2,group,type,spatial
tree_picea_dom_patch,I(tree_picea_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_picea_part_patch,I(tree_picea_part_patch^2),taxonomic properties,macrohabitat,tree
tree_pinus_dom_patch,I(tree_pinus_dom_patch^2),taxonomic properties,macrohabitat,tree
tree_pinus_part_patch,I(tree_pinus_part_patch^2),taxonomic properties,macrohabitat,tree
tree_ilex_part_patch,I(tree_ilex_part_patch^2),taxonomic properties,macrohabitat,tree
tree_hedera_patch,I(tree_hedera_patch^2),taxonomic properties,macrohabitat,tree
tree_evergreen_patch,I(tree_evergreen_patch^2),taxonomic properties,macrohabitat,tree
ff_depth_lg_mean,I(ff_depth_lg_mean^2),soil,microhabitat,forest floor
ff_bulkdensity_lg_mean,I(ff_bulkdensity_lg_mean^2),soil,microhabitat,forest floor
ms_l1mm_mat_bn_mean,I(ms_l1mm_mat_bn_mean^2),soil,microhabitat,mineral soil
ms_bulkdensity_mean,I(ms_bulkdensity_mean^2),soil,microhabitat,mineral soil
ff_c.cont2_lg_mean,I(ff_c.cont2_lg_mean^2),soil,microhabitat,forest floor
ms_c.cont2_lg_mean,I(ms_c.cont2_lg_mean^2),soil,microhabitat,mineral soil
ff_n.cont2_lg_mean,I(ff_n.cont2_lg_mean^2),soil,microhabitat,forest floor
ms_n.cont2_lg_mean,I(ms_n.cont2_lg_mean^2),soil,microhabitat,mineral soil
ff_c.n_lg_mean,I(ff_c.n_lg_mean^2),soil,microhabitat,forest floor
ms_c.n_lg_mean,I(ms_c.n_lg_mean^2),soil,microhabitat,mineral soil
ff_ph_mean,I(ff_ph_mean^2),soil,microhabitat,forest floor
ms_ph_mean,I(ms_ph_mean^2),soil,microhabitat,mineral soil
ms_p.cont_tot_lg_mean,I(ms_p.cont_tot_lg_mean^2),soil,microhabitat,mineral soil
ms_p.cont_inorg_lg_mean,I(ms_p.cont_inorg_lg_mean^2),soil,microhabitat,mineral soil
ms_p.cont_org_lg_mean,I(ms_p.cont_org_lg_mean^2),soil,microhabitat,mineral soil
ms_n.p_tot_lg_mean,I(ms_n.p_tot_lg_mean^2),soil,microhabitat,mineral soil
ms_n.p_inorg_lg_mean,I(ms_n.p_inorg_lg_mean^2),soil,microhabitat,mineral soil
ms_n.p_org_lg_mean,I(ms_n.p_org_lg_mean^2),soil,microhabitat,mineral soil
trait11_mean,I(trait11_mean^2),soil,microhabitat,ground
trait13_mean,I(trait13_mean^2),soil,microhabitat,ground
trait14_mean,I(trait14_mean^2),soil,microhabitat,ground
trait15_mean,I(trait15_mean^2),soil,microhabitat,ground
trait47_mean,I(trait47_mean^2),soil,microhabitat,ground
lg_cv_altitude,I(lg_cv_altitude^2),landscape,landscape,patch
lg_surface_edge5_patch,I(lg_surface_edge5_patch^2),landscape,landscape,patch
lg_surface_edge10_patch,I(lg_surface_edge10_patch^2),landscape,landscape,patch
lg_surface_edge20_patch,I(lg_surface_edge20_patch^2),landscape,landscape,patch
prop_edge5_patch,I(prop_edge5_patch^2),landscape,landscape,patch
prop_edge10_patch,I(prop_edge10_patch^2),landscape,landscape,patch
prop_edge20_patch,I(prop_edge20_patch^2),landscape,landscape,patch
lg_NND,I(lg_NND^2),landscape,landscape,patch
lg_lg_PROX.5000,I(lg_lg_PROX.5000^2),landscape,landscape,5000 m
bn_prop_forest_50,I(bn_prop_forest_50^2),landscape,landscape,50 m
lg_prop_forest_100,I(lg_prop_forest_100^2),landscape,landscape,100 m
lg_prop_forest_250,I(lg_prop_forest_250^2),landscape,landscape,250 m
lg_prop_forest_500,I(lg_prop_forest_500^2),landscape,landscape,500 m
lg_prop_forest_1000,I(lg_prop_forest_1000^2),landscape,landscape,1000 m
prop_forest_5000,I(prop_forest_5000^2),landscape,landscape,5000 m
prop_cult_50,I(prop_cult_50^2),landscape,landscape,50 m
prop_cult_100,I(prop_cult_100^2),landscape,landscape,100 m
prop_cult_250,I(prop_cult_250^2),landscape,landscape,250 m
prop_cult_500,I(prop_cult_500^2),landscape,landscape,500 m
prop_cult_1000,I(prop_cult_1000^2),landscape,landscape,1000 m
prop_cult_5000,I(prop_cult_5000^2),landscape,landscape,5000 m
prop_past_50,I(prop_past_50^2),landscape,landscape,50 m
prop_past_100,I(prop_past_100^2),landscape,landscape,100 m
prop_past_250,I(prop_past_250^2),landscape,landscape,250 m
prop_past_500,I(prop_past_500^2),landscape,landscape,500 m
prop_past_1000,I(prop_past_1000^2),landscape,landscape,1000 m
prop_past_5000,I(prop_past_5000^2),landscape,landscape,5000 m
sqrt_prop_hedg_50,I(sqrt_prop_hedg_50^2),landscape,landscape,50 m
sqrt_prop_hedg_100,I(sqrt_prop_hedg_100^2),landscape,landscape,100 m
sqrt_prop_hedg_250,I(sqrt_prop_hedg_250^2),landscape,landscape,250 m
sqrt_prop_hedg_500,I(sqrt_prop_hedg_500^2),landscape,landscape,500 m
lg_edge_density_250,I(lg_edge_density_250^2),landscape,landscape,250 m
asin_prop_edge5_250,I(asin_prop_edge5_250^2),landscape,landscape,250 m
asin_prop_edge10_250,I(asin_prop_edge10_250^2),landscape,landscape,250 m
asin_prop_edge20_250,I(asin_prop_edge20_250^2),landscape,landscape,250 m
lg_edge_density_500,I(lg_edge_density_500^2),landscape,landscape,500 m
asin_prop_edge5_500,I(asin_prop_edge5_500^2),landscape,landscape,500 m
asin_prop_edge10_500,I(asin_prop_edge10_500^2),landscape,landscape,500 m
asin_prop_edge20_500,I(asin_prop_edge20_500^2),landscape,landscape,500 m
crown.cover,I(crown.cover^2),landscape,landscape,500 m
lg_forest.cover,I(lg_forest.cover^2),landscape,landscape,500 m
edge.density.forest,I(edge.density.forest^2),landscape,landscape,500 m
n.patches,I(n.patches^2),landscape,landscape,500 m
patch.density,I(patch.density^2),landscape,landscape,500 m
sample_time,I(sample_time^2),method,method,method
flag_condition,I(flag_condition^2),method,method,method
temp_soil,I(temp_soil^2),microclimate,microhabitat,microclimate
rH_5,I(rH_5^2),microclimate,microhabitat,microclimate
rH_130,I(rH_130^2),microclimate,microhabitat,microclimate
rH,I(rH^2),microclimate,microhabitat,microclimate
temp_air,I(temp_air^2),microclimate,microhabitat,microclimate
lg_satdef,I(lg_satdef^2),microclimate,microhabitat,microclimate
gdd,I(gdd^2),macroclimate,macroclimate,year
cdd,I(cdd^2),macroclimate,macroclimate,year
precip_pre,I(precip_pre^2),macroclimate,macroclimate,pre
precip_year,I(precip_year^2),macroclimate,macroclimate,year
temp_mean_pre,I(temp_mean_pre^2),macroclimate,macroclimate,pre
temp_mean_year,I(temp_mean_year^2),macroclimate,macroclimate,year
temp_min_pre,I(temp_min_pre^2),macroclimate,macroclimate,pre
temp_min_year,I(temp_min_year^2),macroclimate,macroclimate,year
temp_max_pre,I(temp_max_pre^2),macroclimate,macroclimate,pre
temp_max_year,I(temp_max_year^2),macroclimate,macroclimate,year
n_snow_year,I(n_snow_year^2),macroclimate,macroclimate,year
n_dew_pre,I(n_dew_pre^2),macroclimate,macroclimate,pre
n_dew_year,I(n_dew_year^2),macroclimate,macroclimate,year
n_cold_pre,I(n_cold_pre^2),macroclimate,macroclimate,pre
n_cold_year,I(n_cold_year^2),macroclimate,macroclimate,year
n_med_pre,I(n_med_pre^2),macroclimate,macroclimate,pre
n_med_year,I(n_med_year^2),macroclimate,macroclimate,year
n_warm_pre,I(n_warm_pre^2),macroclimate,macroclimate,pre
n_warm_year,I(n_warm_year^2),macroclimate,macroclimate,year
id_soil_wr,I(id_soil_wr^2),soil,soil,meta
FA_microclimate_1,I(FA_microclimate_1^2),microclimate,microhabitat,microclimate
FA_microclimate_2,I(FA_microclimate_2^2),microclimate,microhabitat,microclimate
FA_macroclimate_1,I(FA_macroclimate_1^2),macroclimate,macroclimate,macroclimate
FA_macroclimate_2,I(FA_macroclimate_2^2),macroclimate,macroclimate,macroclimate
FA_macroclimate_3,I(FA_macroclimate_3^2),macroclimate,macroclimate,macroclimate
FA_structure_1,I(FA_structure_1^2),structural properties,macrohabitat,structural properties
FA_structure_2,I(FA_structure_2^2),structural properties,macrohabitat,structural properties
FA_structure_3,I(FA_structure_3^2),structural properties,macrohabitat,structural properties
FA_structure_4,I(FA_structure_4^2),structural properties,microhabitat,structural properties
FA_structure_5,I(FA_structure_5^2),structural properties,macrohabitat,structural properties
FA_structure_6,I(FA_structure_6^2),structural properties,macrohabitat,structural properties
FA_structure_7,I(FA_structure_7^2),structural properties,macrohabitat,structural properties
FA_structure_8,I(FA_structure_8^2),structural properties,macrohabitat,structural properties
FA_abundances_1,I(FA_abundances_1^2),functional properties,macrohabitat,functional properties
FA_abundances_2,I(FA_abundances_2^2),functional properties,macrohabitat,functional properties
FA_abundances_3,I(FA_abundances_3^2),functional properties,macrohabitat,functional properties
FA_abundances_4,I(FA_abundances_4^2),functional properties,macrohabitat,functional properties
